,points
-37,1
-37,2
-37,3
-37,1
-37,1
-37,29
-37,1
-37,30
-37,1
-37,1
-37,1
-37,4
-37,1
-37,1
-37,1
-37,3
-37,1
-37,1
-37,1
-37,6
-37,3
-37,3
-37,1
-37,1
-37,1
-37,4
-37,1
-37,6
-37,8
-37,1
-37,4
-37,1
-37,1
-37,1
-37,18
-37,7
-37,1
-37,1
-37,3
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,3
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,9
-37,1
-37,1
-37,3
-37,1
-37,1
-37,2
-37,22
-37,1
-37,1
-37,1
-37,1
-37,7
-37,1
-37,1
-37,5
-37,1
-37,6
-37,1
-37,4
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,2
-37,1
-37,1
-37,3
-37,1
-37,5
-37,1
-37,1
-37,1
-37,1
-37,6
-37,1
-37,22
-37,1
-37,1
-37,1
-37,7
-37,1
-37,1
-37,1
-37,1
-37,5
-37,2
-37,1
-37,6
-37,1
-37,1
-37,1
-37,1
-37,2
-37,1
-37,1
-37,3
-37,2
-37,1
-37,1
-37,2
-37,9
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,8
-37,1
-37,1
-37,8
-37,1
-37,1
-37,15
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,1
-37,17
