file_name,AUC,TSS
"Callistochlora_chloris_(Spinola,_1851)_performance",0.986760165,0.952176863
"Ceratina_aloes_Cockerell,_1932_performance",0.986673667,0.94638
"Tetragonula_pagdeni_(Schwarz,_1939)_performance",0.986616771,0.943479394
"Bombus_wilmattae_Cockerell,_1912_performance",0.986549375,0.92122
"Hoplitis_benoisti_(Alfken,_1935)_performance",0.986496667,0.94362
"Andrena_crudeni_LaBerge,_1971_performance",0.986439044,0.95268
"Bombus_volucelloides_Gribodo,_1892_performance",0.98641,0.94158
"Megachile_speluncarum_Meade-Waldo,_1915_performance",0.986335714,0.96982
"Ptilotrigona_pereneae_(Schwarz,_1943)_performance",0.986298824,0.97098
"Andrena_ovata_Schenck,_1853_performance",0.98628,0.95124
"Trigonisca_longitarsis_(Ducke,_1916)_performance",0.986210737,0.9398
"Melipona_melanoventer_Schwarz,_1932_performance",0.986198913,0.925304348
"Andrena_vetula_Lepeletier,_1841_performance",0.986187048,0.9616
"Andrena_macra_Mitchell,_1951_performance",0.986144897,0.921703448
"Melipona_schwarzi_Moure,_1963_performance",0.986096,0.95718
"Amegilla_andrewsi_(Cockerell,_1910)_performance",0.986083714,0.97508
"Tetragonula_sapiens_(Cockerell,_1911)_performance",0.9860825,0.945406667
"Colletes_aestivalis_Patton,_1879_performance",0.985974912,0.95102
"Anthophora_arequipensis_Brèthes,_1920_performance",0.985971923,0.90832
"Bombus_pyrosoma_Morawitz,_1890_performance",0.985970167,0.9447
"Lasioglossum_veronicae_(Cockerell,_1926)_performance",0.985959176,0.912558367
"Nomada_gracilis_Cresson,_1863_performance",0.985902273,0.919754545
"Ptiloglossa_costaricana_Moure,_1945_performance",0.98583625,0.9478
"Calliopsis_persimilis_(Cockerell,_1900)_performance",0.98575875,0.95366
"Xylocopa_mordax_Smith,_1874_performance",0.985744449,0.909731795
"Protandrena_compositarum_(Robertson,_1893)_performance",0.985710841,0.919252973
"Melipona_compressipes_(Fabricius,_1804)_performance",0.98566721,0.95218
"Osmia_granulosa_Cockerell,_1911_performance",0.985653052,0.916138961
"Pseudoanthidium_tanganyicola_(Strand,_1911)_performance",0.98564141,0.96656
"Melipona_illota_Cockerell,_1919_performance",0.985618462,0.95576
"Scaptotrigona_subobscuripennis_(Schwarz,_1951)_performance",0.985594183,0.94366
"Hylaeus_sulphuripes_(Gribodo,_1894)_performance",0.985584967,0.95982
"Lasioglossum_mesembryanthemi_(Cockerell,_1926)_performance",0.985577582,0.92932
"Nomada_sulphurata_Smith,_1854_performance",0.985572652,0.95828
"Colletes_validus_Cresson,_1868_performance",0.985562694,0.89888
"Scrapter_calx_Eardley,_1996_performance",0.985488476,0.91498
"Andrena_orthocarpi_Cockerell,_1936_performance",0.985372997,0.935115349
"Tetraloniella_mitsukurii_(Cockerell,_1911)_performance",0.985306264,0.93456
"Trichothurgus_herbsti_(Friese,_1905)_performance",0.985297602,0.943185146
"Euglossa_championi_Cheesman,_1929_performance",0.985295823,0.9315
"Bombus_honshuensis_(Tkalců,_1968)_performance",0.985284,0.9183
"Lasioglossum_prasinum_(Smith,_1848)_performance",0.985270983,0.926438378
"Lasioglossum_cupromicans_(Pérez,_1903)_performance",0.985270152,0.918693418
"Nomada_agrestis_Fabricius,_1787_performance",0.985237967,0.94876
"Lasioglossum_foveolatum_(Robertson,_1902)_performance",0.985223526,0.95696
"Dufourea_scintilla_(Cockerell,_1916)_performance",0.98518919,0.94482
"Nomada_composita_Mitchell,_1962_performance",0.985186233,0.92774
"Diadasia_angusticeps_Timberlake,_1939_performance",0.985166484,0.94392
"Pseudoanthidium_lanificum_(Smith,_1879)_performance",0.985089091,0.928585281
"Andrena_oenotherae_Timberlake,_1937_performance",0.985082292,0.93532
"Colletes_abeillei_Pérez,_1903_performance",0.9850225,0.95844
"Manuelia_gayatina_(Spinola,_1851)_performance",0.984997874,0.966213865
"Mourella_caerulea_(Friese,_1900)_performance",0.984950583,0.91464
"Panurginus_montanus_Giraud,_1861_performance",0.984940381,0.92778
"Nomia_elliotii_Smith,_1875_performance",0.984889286,0.904765714
"Calliopsis_hesperia_(Swenk_and_Cockerell,_1907)_performance",0.984874167,0.94868
"Osmia_virga_Sandhouse,_1939_performance",0.984844615,0.931830769
"Bombus_sibiricus_(Fabricius,_1781)_performance",0.984839103,0.95338
"Xylocopa_similis_Smith,_1874_performance",0.98483902,0.95842
"Amegilla_antimena_(Saussure,_1890)_performance",0.984816667,0.93154
"Megachile_abdominalis_Smith,_1853_performance",0.984755,0.92626
"Nomada_similis_Morawitz,_1872_performance",0.984745432,0.926937274
"Mesoxaea_nigerrima_(Friese,_1912)_performance",0.984743407,0.91812
"Apis_laboriosa_Smith,_1871_performance",0.984694587,0.912171339
"Andrena_batava_Pérez,_1902_performance",0.98469366,0.95272
"Lasioglossum_reticulatum_(Robertson,_1892)_performance",0.984688019,0.908999903
"Xylocopa_tranquebarica_(Fabricius,_1804)_performance",0.984669226,0.90786172
"Osmia_aglaia_Sandhouse,_1939_performance",0.984641429,0.94548
"Lasioglossum_globosum_(Smith,_1853)_performance",0.984614167,0.910266667
"Lasioglossum_maunga_Donovan,_2007_performance",0.984577922,0.94838
"Andrena_angustior_(Kirby,_1802)_performance",0.984530891,0.911615573
"Lasioglossum_xerophilum_Walker,_1995_performance",0.98453,0.94218
"Andrena_hemileuca_Viereck,_1904_performance",0.984505024,0.917092381
"Lasioglossum_pectinatum_(Robertson,_1890)_performance",0.984496833,0.9381
"Andrena_omninigra_Viereck,_1917_performance",0.984421987,0.9512
"Lasioglossum_sopinci_(Crawford,_1932)_performance",0.984415088,0.911505146
"Euglossa_gorgonensis_Cheesman,_1929_performance",0.984408526,0.97072
"Exoneurella_tridentata_(Houston,_1976)_performance",0.9843725,0.925726667
"Andrena_fulvipennis_Smith,_1853_performance",0.984314335,0.905623902
"Halictus_gemmeus_Dours,_1872_performance",0.984299494,0.926453563
"Andrena_fenningeri_Viereck,_1922_performance",0.98429787,0.931246803
"Colletes_thysanellae_Mitchell,_1951_performance",0.98429625,0.90752
"Panurgus_dentipes_Latreille,_1811_performance",0.984271897,0.91994
"Anthidiellum_perplexum_(Smith,_1854)_performance",0.984236052,0.90330776
"Ceratina_bilobata_Cockerell,_1937_performance",0.984218857,0.95876
"Meroglossa_gemmata_Houston,_1975_performance",0.98420875,0.90338
"Lasioglossum_alpigena_(Dalla_Torre,_1877)_performance",0.984147564,0.93058
"Perdita_rhois_Cockerell,_1901_performance",0.984119375,0.92731
"Andrena_atlantica_Mitchell,_1960_performance",0.984019413,0.890045243
"Xylocopa_nasalis_Westwood,_1842_performance",0.984006657,0.922533469
"Lasioglossum_marinum_(Crawford,_1904)_performance",0.984001154,0.897235385
"Xylocopa_cearensis_(Ducke,_1910)_performance",0.98399,0.95418
"Plesianthidium_neli_(Brauns,_1929)_performance",0.983950897,0.96704
"Duckeola_ghilianii_(Spinola,_1853)_performance",0.983907912,0.95168
"Megachile_ignescens_Cockerell,_1929_performance",0.98389875,0.9402
"Dufourea_subdavidsoni_Bohart,_1949_performance",0.983892218,0.900755161
"Nomada_perplexa_Cresson,_1863_performance",0.983805,0.915102222
"Osmia_orientalis_Benoist,_1929_performance",0.983797564,0.92882
"Hesperapis_regularis_(Cresson,_1878)_performance",0.98375541,0.93005037
"Colletes_nigritulus_Friese,_1910_performance",0.983700741,0.95274057
"Diphaglossa_gayi_Spinola,_1851_performance",0.983653976,0.962022873
"Lasioglossum_oenotherae_(Stevens,_1920)_performance",0.983638448,0.929533548
"Andrena_rogenhoferi_Morawitz,_1872_performance",0.983636632,0.903253684
"Meliturgula_scriptifrons_(Walker,_1871)_performance",0.983633556,0.90453798
"Colletes_zuluensis_Friese,_1925_performance",0.983615,0.97046
"Perdita_californica_(Cresson,_1878)_performance",0.983605,0.93602
"Dufourea_versatilis_(Bridwell,_1919)_performance",0.983601667,0.95554
"Euryglossa_sturtiensis_Exley,_1998_performance",0.983567949,0.94722
"Ceratina_rupestris_Holmberg,_1884_performance",0.983561667,0.92136
"Hoplitis_loti_(Morawitz,_1867)_performance",0.983559743,0.92748
"Andrena_mitis_Schmiedeknecht,_1883_performance",0.983559286,0.900568571
"Hoplitis_howardi_(Cockerell,_1910)_performance",0.983519801,0.92742
"Osmia_tricornis_Latreille,_1811_performance",0.983461747,0.930966667
"Megachile_mystaceana_(Michener,_1962)_performance",0.983439429,0.914337417
"Halictus_fulvipes_(Klug,_1817)_performance",0.983416111,0.919782222
"Andrena_atypica_(Cockerell,_1941)_performance",0.983413834,0.92708
"Lasioglossum_quadrinotatum_(Kirby,_1802)_performance",0.983403823,0.911348608
"Allodape_pernix_(Bingham,_1903)_performance",0.98338125,0.91954
"Xenoglossodes_pomonae_(Cockerell,_1915)_performance",0.983351133,0.936327488
"Andrena_banksi_Malloch,_1917_performance",0.983336364,0.886278182
